name,name_ascii,isCapital,latCentre,longCentre,iso2,iso3,countrySubIso
Jonage,Jonage,0,45.7964,5.0467,FR,FRA,NULL
Granville,Granville,0,43.4188,-73.3086,US,USA,NULL
Mestigmer,Mestigmer,0,34.4868,-2.6883,MA,MAR,NULL
Bon-Encontre,Bon-Encontre,0,44.1864,0.6719,FR,FRA,NULL
Sernaglia della Battaglia,Sernaglia della Battaglia,0,45.8833,12.1333,IT,ITA,NULL
São Martinho,Sao Martinho,0,38.8125,-9.4208,PT,PRT,NULL
Pimonte,Pimonte,0,40.6736,14.5125,IT,ITA,NULL
Brejo dos Santos,Brejo dos Santos,0,-6.3769,-37.825,BR,BRA,NULL
Arès,Ares,0,44.765,-1.1367,FR,FRA,NULL
Abercarn,Abercarn,0,51.649,-3.135,GB,GBR,NULL
Asiago,Asiago,0,45.8667,11.5167,IT,ITA,NULL
Juti,Juti,0,-22.8608,-54.6028,BR,BRA,NULL
Drabiv,Drabiv,0,49.9603,32.1481,UA,UKR,NULL
Pont-Saint-Martin,Pont-Saint-Martin,0,47.1236,-1.5844,FR,FRA,NULL
Buena Vista,Buena Vista,0,37.7319,-79.3569,US,USA,NULL
Lagoão,Lagoao,0,-29.235,-52.7958,BR,BRA,NULL
Sardarapat,Sardarapat,0,40.1321,44.0097,AR,ARG,NULL
Ida Ou Gaïlal,Ida Ou Gailal,0,30.6377,-8.6315,MA,MAR,NULL
Duanesburg,Duanesburg,0,42.7799,-74.1805,US,USA,NULL
Prairie du Chien,Prairie du Chien,0,43.0429,-91.1373,US,USA,NULL
Winterlingen,Winterlingen,0,48.1797,9.1153,DE,DEU,NULL
Wiset Chaichan,Wiset Chaichan,0,14.589,100.3482,TH,THA,NULL
Drayton,Drayton,0,52.675,1.225,GB,GBR,NULL
Silver Lake,Silver Lake,0,34.1408,-77.909,US,USA,NULL
Shalya,Shalya,0,57.2408,58.7344,RU,RUS,NULL
Maiolati Spontini,Maiolati Spontini,0,43.4772,13.1192,IT,ITA,NULL
Laage,Laage,0,53.9322,12.3467,DE,DEU,NULL
Miraflores de la Sierra,Miraflores de la Sierra,0,40.8114,-3.7686,ES,ESP,NULL
Laranjal,Laranjal,0,-21.3739,-42.4769,BR,BRA,NULL
Sarriá de Ter,Sarria de Ter,0,42.0181,2.8261,ES,ESP,NULL
Monzuno,Monzuno,0,44.2833,11.2667,IT,ITA,NULL
Irvington,Irvington,0,41.0349,-73.8661,US,USA,NULL
Prestonsburg,Prestonsburg,0,37.6816,-82.7662,US,USA,NULL
Uetendorf,Uetendorf,0,46.7664,7.5667,CH,CHE,NULL
Gómez Farías,Gomez Farias,0,29.3583,-107.7361,MX,MEX,NULL
Hamilton,Hamilton,0,42.7897,-75.494,US,USA,NULL
Rosenfeld,Rosenfeld,0,48.2864,8.7242,DE,DEU,NULL
Nagyecsed,Nagyecsed,0,47.8619,22.3867,HU,HUN,NULL
Selvíria,Selviria,0,-20.3669,-51.4189,BR,BRA,NULL
Zusmarshausen,Zusmarshausen,0,48.3833,10.5833,DE,DEU,NULL
Neumarkt am Wallersee,Neumarkt am Wallersee,0,47.9453,13.2247,AT,AUT,NULL
Lentilly,Lentilly,0,45.8186,4.6631,FR,FRA,NULL
Sidley,Sidley,0,50.86,0.47,GB,GBR,NULL
Fockbek,Fockbek,0,54.305,9.6008,DE,DEU,NULL
Marsillargues,Marsillargues,0,43.6644,4.1769,FR,FRA,NULL
Moraine,Moraine,0,39.6983,-84.2459,US,USA,NULL
Castle Donnington,Castle Donnington,0,52.8444,-1.3377,GB,GBR,NULL
Penn Yan,Penn Yan,0,42.6608,-77.0536,US,USA,NULL
Scenic Oaks,Scenic Oaks,0,29.7038,-98.6713,US,USA,NULL
Lanchkhuti,Lanchkhuti,0,42.0875,42.0333,GE,GEO,NULL
Ras Tabouda,Ras Tabouda,0,34,-4.7167,MA,MAR,NULL
Górliz-Elexalde,Gorliz-Elexalde,0,43.4167,-2.9333,ES,ESP,NULL
Columbia,Columbia,0,31.2564,-89.8266,US,USA,NULL
Moyá,Moya,0,41.8131,2.0971,ES,ESP,NULL
Villanuova sul clisi,Villanuova sul clisi,0,45.6,10.45,IT,ITA,NULL
Mendes Pimentel,Mendes Pimentel,0,-18.6608,-41.405,BR,BRA,NULL
Seloncourt,Seloncourt,0,47.4606,6.8583,FR,FRA,NULL
Genoa,Genoa,0,42.0926,-88.6964,US,USA,NULL
Otis Orchards-East Farms,Otis Orchards-East Farms,0,47.703,-117.0854,US,USA,NULL
Sidney,Sidney,0,47.7152,-104.168,US,USA,NULL
Fagagna,Fagagna,0,46.1167,13.0833,IT,ITA,NULL
Herrera,Herrera,0,37.3667,-4.8333,ES,ESP,NULL
Boischatel,Boischatel,0,46.9,-71.15,CA,CAN,NULL
Loutolim,Loutolim,0,15.33,73.98,IN,IND,NULL
Dalaba,Dalaba,0,10.656,-12.272,GN,GIN,NULL
Baykalovo,Baykalovo,0,57.3969,63.7672,RU,RUS,NULL
Bauvin,Bauvin,0,50.5142,2.8981,FR,FRA,NULL
South Grafton,South Grafton,0,-29.715,152.9344,AU,AUS,NULL
Kölleda,Kolleda,0,51.1667,11.2167,DE,DEU,NULL
Loches,Loches,0,47.1286,0.9953,FR,FRA,NULL
Berdigestyakh,Berdigestyakh,0,62.0984,126.6957,RU,RUS,NULL
Darnestown,Darnestown,0,39.096,-77.3033,US,USA,NULL
Urnieta,Urnieta,0,43.2469,-1.9917,ES,ESP,NULL
Collins,Collins,0,42.4908,-78.8623,US,USA,NULL
Hebron,Hebron,0,39.0626,-84.709,US,USA,NULL
Essingen,Essingen,0,48.8083,10.0278,DE,DEU,NULL
Glendive,Glendive,0,47.1102,-104.7069,US,USA,NULL
Cuddington,Cuddington,0,53.24,-2.6,GB,GBR,NULL
Épernon,Epernon,0,48.6108,1.6742,FR,FRA,NULL
Yorketown,Yorketown,0,40.3064,-74.3385,US,USA,NULL
Guichón,Guichon,0,-32.35,-57.2,UY,URY,NULL
Bizhbulyak,Bizhbulyak,0,53.6967,54.2642,RU,RUS,NULL
Oficina María Elena,Oficina Maria Elena,0,-22.35,-69.6667,CL,CHL,NULL
Barra do Rocha,Barra do Rocha,0,-14.2108,-39.6019,BR,BRA,NULL
Wem,Wem,0,52.8536,-2.7267,GB,GBR,NULL
Santo Antônio de Lisboa,Santo Antonio de Lisboa,0,-6.9808,-41.2339,BR,BRA,NULL
Umkirch,Umkirch,0,48.0328,7.7636,DE,DEU,NULL
Liss,Liss,0,51.0429,-0.8918,GB,GBR,NULL
Ingeniero Guillermo N. Juárez,Ingeniero Guillermo N. Juarez,0,-23.9,-61.85,AR,ARG,NULL
Nufringen,Nufringen,0,48.6222,8.8875,DE,DEU,NULL
Uzzano,Uzzano,0,43.8833,10.7167,IT,ITA,NULL
Lake Murray of Richland,Lake Murray of Richland,0,34.1209,-81.2653,US,USA,NULL
Encs,Encs,0,48.3306,21.1217,HU,HUN,NULL
Subbiano,Subbiano,0,43.58,11.8722,IT,ITA,NULL
Pont-Sainte-Marie,Pont-Sainte-Marie,0,48.3206,4.1014,FR,FRA,NULL
Pereiro de Aguiar,Pereiro de Aguiar,0,42.3464,-7.8003,ES,ESP,NULL
Commentry,Commentry,0,46.2889,2.7417,FR,FRA,NULL
Belgioioso,Belgioioso,0,45.1667,9.3167,IT,ITA,NULL
Lübz,Lubz,0,53.4631,12.0283,DE,DEU,NULL
Klingenberg am Main,Klingenberg am Main,0,49.7833,9.1833,DE,DEU,NULL
Marolles-en-Hurepoix,Marolles-en-Hurepoix,0,48.5625,2.2983,FR,FRA,NULL
Beni Sidal Louta,Beni Sidal Louta,0,35.1069,-3.0656,MA,MAR,NULL
Tiyghmi,Tiyghmi,0,29.5875,-9.4063,MA,MAR,NULL
Porto Cesareo,Porto Cesareo,0,40.2667,17.9,IT,ITA,NULL
Girvan,Girvan,0,55.2382,-4.8561,GB,GBR,NULL
